tanggal,harga
02-01-2020,24400
03-01-2020,24400
06-01-2020,24400
07-01-2020,24400
08-01-2020,24400
09-01-2020,20650
10-01-2020,20650
13-01-2020,24400
14-01-2020,24400
15-01-2020,24400
16-01-2020,24400
17-01-2020,24400
20-01-2020,24400
21-01-2020,24400
22-01-2020,24400
23-01-2020,24400
24-01-2020,20650
27-01-2020,40650
28-01-2020,40650
29-01-2020,32950
30-01-2020,40650
31-01-2020,40650
03-02-2020,40650
04-02-2020,40650
05-02-2020,32950
06-02-2020,40650
07-02-2020,40650
10-02-2020,40650
11-02-2020,40650
12-02-2020,32950
13-02-2020,32950
14-02-2020,40650
17-02-2020,40650
18-02-2020,32950
19-02-2020,32950
20-02-2020,32950
21-02-2020,40650
24-02-2020,40650
25-02-2020,32400
26-02-2020,32400
27-02-2020,32400
28-02-2020,32400
02-03-2020,32400
03-03-2020,32400
04-03-2020,32400
05-03-2020,32400
06-03-2020,32400
09-03-2020,32400
10-03-2020,32400
11-03-2020,32400
12-03-2020,32400
13-03-2020,32400
16-03-2020,32400
17-03-2020,32400
18-03-2020,32400
19-03-2020,32400
20-03-2020,32400
23-03-2020,32400
24-03-2020,32400
26-03-2020,35100
27-03-2020,35100
30-03-2020,35100
31-03-2020,35100
01-04-2020,35100
02-04-2020,35100
03-04-2020,35100
06-04-2020,35100
07-04-2020,35100
08-04-2020,35100
09-04-2020,37250
13-04-2020,35100
14-04-2020,35100
15-04-2020,35100
16-04-2020,35100
17-04-2020,35100
20-04-2020,35100
21-04-2020,35100
22-04-2020,35100
23-04-2020,35100
24-04-2020,20400
27-04-2020,16750
28-04-2020,16750
29-04-2020,22750
30-04-2020,16750
04-05-2020,16750
05-05-2020,16750
06-05-2020,22750
08-05-2020,16750
11-05-2020,14350
12-05-2020,14350
13-05-2020,22750
14-05-2020,22750
15-05-2020,16750
18-05-2020,16750
19-05-2020,22750
20-05-2020,22750
28-05-2020,15250
29-05-2020,15250
02-06-2020,15250
03-06-2020,15250
04-06-2020,15250
05-06-2020,15250
08-06-2020,15250
09-06-2020,15250
10-06-2020,15250
11-06-2020,15250
12-06-2020,15250
15-06-2020,15250
16-06-2020,15250
17-06-2020,15250
18-06-2020,15250
19-06-2020,15250
22-06-2020,15250
23-06-2020,15250
24-06-2020,15250
25-06-2020,10800
26-06-2020,10800
29-06-2020,10800
30-06-2020,10800
01-07-2020,10800
02-07-2020,10800
03-07-2020,10800
06-07-2020,10800
07-07-2020,10800
08-07-2020,10800
09-07-2020,10800
10-07-2020,10800
13-07-2020,10800
14-07-2020,10800
15-07-2020,10800
16-07-2020,10800
17-07-2020,10800
20-07-2020,10800
21-07-2020,10800
22-07-2020,10800
23-07-2020,10800
24-07-2020,12550
27-07-2020,12800
28-07-2020,12800
29-07-2020,12800
30-07-2020,12800
03-08-2020,12800
04-08-2020,12800
05-08-2020,12800
06-08-2020,12800
07-08-2020,12800
10-08-2020,13000
11-08-2020,13000
12-08-2020,12800
13-08-2020,12800
14-08-2020,12800
18-08-2020,12800
19-08-2020,12800
24-08-2020,12800
25-08-2020,10100
26-08-2020,10100
27-08-2020,10100
28-08-2020,10100
31-08-2020,10100
01-09-2020,10100
02-09-2020,10100
03-09-2020,10100
04-09-2020,10100
07-09-2020,10100
08-09-2020,10100
09-09-2020,10100
10-09-2020,10100
11-09-2020,10100
14-09-2020,10100
15-09-2020,10100
16-09-2020,10100
17-09-2020,10100
18-09-2020,10100
21-09-2020,10100
22-09-2020,10100
23-09-2020,10100
24-09-2020,10100
25-09-2020,10250
28-09-2020,10250
29-09-2020,10250
30-09-2020,10250
01-10-2020,10250
02-10-2020,10250
05-10-2020,10250
06-10-2020,10250
07-10-2020,10250
08-10-2020,10250
09-10-2020,10250
12-10-2020,10250
13-10-2020,10250
14-10-2020,10250
15-10-2020,10250
16-10-2020,10250
19-10-2020,10250
20-10-2020,10250
21-10-2020,10250
22-10-2020,10250
23-10-2020,10250
26-10-2020,11300
27-10-2020,11300
02-11-2020,11300
03-11-2020,11300
04-11-2020,11300
05-11-2020,11300
06-11-2020,11300
09-11-2020,11300
10-11-2020,11300
11-11-2020,11300
12-11-2020,11300
13-11-2020,11300
16-11-2020,11300
17-11-2020,11300
18-11-2020,11300
19-11-2020,11300
20-11-2020,11300
23-11-2020,11300
24-11-2020,20000
25-11-2020,11750
26-11-2020,14800
27-11-2020,14800
30-11-2020,14800
01-12-2020,14800
02-12-2020,14800
03-12-2020,14800
04-12-2020,14800
07-12-2020,14800
08-12-2020,14800
10-12-2020,14800
11-12-2020,14800
14-12-2020,14800
15-12-2020,14800
16-12-2020,14800
17-12-2020,14800
18-12-2020,14800
21-12-2020,14800
22-12-2020,14800
23-12-2020,14800
28-12-2020,33650
29-12-2020,33650
30-12-2020,33650
04-01-2021,33650
05-01-2021,33650
06-01-2021,33650
07-01-2021,33650
08-01-2021,33650
11-01-2021,33650
12-01-2021,33650
13-01-2021,33650
14-01-2021,33650
15-01-2021,33650
18-01-2021,33650
19-01-2021,33650
20-01-2021,33650
21-01-2021,33650
22-01-2021,33650
25-01-2021,48000
26-01-2021,48000
27-01-2021,48000
28-01-2021,48000
29-01-2021,48000
01-02-2021,48000
02-02-2021,48000
03-02-2021,48000
04-02-2021,48000
05-02-2021,48000
08-02-2021,48000
09-02-2021,48000
10-02-2021,48000
11-02-2021,48000
15-02-2021,48000
16-02-2021,48000
17-02-2021,48000
18-02-2021,48000
19-02-2021,48000
22-02-2021,48000
23-02-2021,48000
24-02-2021,48000
25-02-2021,63650
26-02-2021,63650
01-03-2021,63650
02-03-2021,63650
03-03-2021,63650
04-03-2021,63650
05-03-2021,63650
08-03-2021,63650
09-03-2021,63650
10-03-2021,63650
12-03-2021,63650
15-03-2021,63650
16-03-2021,63650
17-03-2021,63650
18-03-2021,63650
19-03-2021,63650
22-03-2021,63650
23-03-2021,63650
24-03-2021,63650
25-03-2021,87600
26-03-2021,87600
29-03-2021,87600
30-03-2021,87600
31-03-2021,87600
01-04-2021,87600
05-04-2021,87600
06-04-2021,87600
07-04-2021,87600
08-04-2021,87600
09-04-2021,87600
12-04-2021,87600
13-04-2021,87600
14-04-2021,87600
15-04-2021,87600
